Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/03/23,06,CA,06037,Los Angeles County,2171518,7867589,31862794,8338599,7251722,3918213,5128121,5008886,1523538,441956,165571,62000,24188,06-06037-20220323,12,3
County,2022/03/24,06,CA,06037,Los Angeles County,2259676,7779431,29244248,7289265,6529368,3631217,4847189,4759075,1500794,430027,168148,64822,24343,06-06037-20220324,12,3
County,2022/03/25,06,CA,06037,Los Angeles County,2184674,7854433,31826075,8421345,7291212,3928687,5092457,4894004,1484464,448598,175325,65789,24194,06-06037-20220325,12,3
County,2022/03/26,06,CA,06037,Los Angeles County,2313280,7725827,28835354,7079303,6415908,3632138,4779990,4679790,1499981,474255,186271,66153,21565,06-06037-20220326,12,3
County,2022/03/27,06,CA,06037,Los Angeles County,2578438,7460669,26392785,5978752,5726412,3359343,4558128,4493445,1472177,501227,208184,72416,22701,06-06037-20220327,13,3
County,2022/03/28,06,CA,06037,Los Angeles County,2210154,7828953,30353926,7961244,7001287,3799680,4838079,4674787,1438360,402350,151885,63955,22299,06-06037-20220328,13,3
County,2022/03/29,06,CA,06037,Los Angeles County,2316676,7722431,30683933,8156154,7139461,3741591,4791671,4658396,1474978,449540,178276,68780,25086,06-06037-20220329,13,3
County,2022/03/30,06,CA,06037,Los Angeles County,2424649,7614458,26708426,6529075,5993539,3295505,4373425,4378637,1432158,439686,173518,67909,24974,06-06037-20220330,13,3
County,2022/03/31,06,CA,06037,Los Angeles County,2313630,7725477,28779393,7190225,6566595,3609595,4735849,4585091,1425333,417501,163231,62146,23827,06-06037-20220331,13,3
County,2022/04/01,06,CA,06037,Los Angeles County,2350534,7688573,25459983,6279984,5883649,3117469,4147331,4055640,1328097,400445,160482,63778,23108,06-06037-20220401,13,4
County,2022/04/02,06,CA,06037,Los Angeles County,2456192,7582915,29019747,7421083,6642077,3554287,4633071,4502471,1477732,486736,200669,75997,25624,06-06037-20220402,13,4
County,2022/04/03,06,CA,06037,Los Angeles County,2489322,7549785,25988385,5972271,5731306,3321096,4435342,4316852,1432562,488736,199914,68347,21959,06-06037-20220403,14,4
County,2022/04/04,06,CA,06037,Los Angeles County,2473898,7565209,27880894,7046392,6341513,3413800,4479735,4462446,1429758,444737,168906,68346,25261,06-06037-20220404,14,4
County,2022/04/05,06,CA,06037,Los Angeles County,2278085,7761022,25301338,5896345,5744179,3129849,4178278,4309206,1385599,413141,158662,62794,23285,06-06037-20220405,14,4
County,2022/04/06,06,CA,06037,Los Angeles County,2160327,7878780,29837233,7985342,7096846,3668293,4599461,4465654,1378077,403663,156785,60324,22788,06-06037-20220406,14,4
County,2022/04/07,06,CA,06037,Los Angeles County,2228685,7810422,28589072,7521552,6632230,3475519,4436782,4441410,1412664,423355,158213,62991,24356,06-06037-20220407,14,4
County,2022/04/08,06,CA,06037,Los Angeles County,2273733,7765374,25902916,6344628,6164742,3311347,4145292,4052387,1276336,383281,145461,58904,20538,06-06037-20220408,14,4
County,2022/04/09,06,CA,06037,Los Angeles County,2435337,7603770,25406006,6230267,5939379,3092803,4040779,4066865,1336753,431853,175801,66408,25098,06-06037-20220409,14,4
County,2022/04/10,06,CA,06037,Los Angeles County,2538532,7500575,25543134,5983577,5683508,3217056,4321340,4219623,1367254,468665,188634,69747,23730,06-06037-20220410,15,4
County,2022/04/11,06,CA,06037,Los Angeles County,2377342,7661765,26229192,6419144,6010033,3224830,4239540,4271507,1388168,429221,155986,65149,25614,06-06037-20220411,15,4
County,2022/04/12,06,CA,06037,Los Angeles County,2460748,7578359,26700714,6497839,6184835,3338882,4328677,4320711,1370212,421576,150324,62533,25125,06-06037-20220412,15,4
County,2022/04/13,06,CA,06037,Los Angeles County,2478651,7560456,25061349,5957623,5630535,3107047,4107170,4196950,1383087,425363,163864,64667,25043,06-06037-20220413,15,4
County,2022/04/14,06,CA,06037,Los Angeles County,2301100,7738007,30734792,8246083,7242432,3766272,4734629,4585493,1444258,455767,166863,67228,25767,06-06037-20220414,15,4
County,2022/04/15,06,CA,06037,Los Angeles County,2472379,7566728,25999802,6226566,5921178,3226562,4255356,4290159,1379906,445618,161645,66464,26348,06-06037-20220415,15,4
County,2022/04/16,06,CA,06037,Los Angeles County,2334254,7704853,28551163,7407558,6594872,3543434,4517937,4395736,1369202,452361,177650,67372,25041,06-06037-20220416,15,4
County,2022/04/24,06,CA,06037,Los Angeles County,2429903,7609204,33540800,9559539,7678858,4128012,5118347,4726852,1520940,513319,208441,64979,21513,06-06037-20220424,17,4
County,2022/04/25,06,CA,06037,Los Angeles County,2308943,7730164,33293989,9383324,8029788,4093544,5084078,4608225,1421715,421897,164000,64303,23115,06-06037-20220425,17,4
County,2022/04/26,06,CA,06037,Los Angeles County,2201895,7837212,37220849,10871753,9025153,4597293,5597613,4997391,1476941,414077,154010,64010,22608,06-06037-20220426,17,4
County,2022/04/27,06,CA,06037,Los Angeles County,2379000,7660107,33651927,8822994,8026340,4310536,5414343,4930734,1489171,421201,151745,62388,22475,06-06037-20220427,17,4
County,2022/04/28,06,CA,06037,Los Angeles County,2282739,7756368,35505141,9655037,8566663,4499955,5569707,5029757,1502675,431467,162195,64852,22833,06-06037-20220428,17,4
County,2022/04/29,06,CA,06037,Los Angeles County,2364646,7674461,30466764,7997428,7402469,3842080,4752796,4399963,1384663,423782,173820,66247,23516,06-06037-20220429,17,4
County,2022/04/30,06,CA,06037,Los Angeles County,2480392,7558715,29149358,8045992,7491950,3430940,4080680,4006013,1332097,455726,190008,86424,29528,06-06037-20220430,17,4
County,2022/04/17,06,CA,06037,Los Angeles County,2571247,7467860,29054622,7600066,6528435,3545221,4598128,4425441,1519178,537502,216059,62128,22464,06-06037-20220417,16,4
County,2022/04/18,06,CA,06037,Los Angeles County,2366959,7672148,33768488,9537211,8078157,4156522,5174227,4703312,1432565,427187,173662,62069,23576,06-06037-20220418,16,4
County,2022/04/19,06,CA,06037,Los Angeles County,2511447,7527660,31623631,8658313,7309477,3965429,5049215,4611245,1405032,396533,148332,57947,22108,06-06037-20220419,16,4
County,2022/04/20,06,CA,06037,Los Angeles County,2419840,7619267,32964332,9063371,7732767,4109256,5230325,4756750,1426660,406690,155045,61193,22275,06-06037-20220420,16,4
County,2022/04/21,06,CA,06037,Los Angeles County,2069493,7969614,31362394,8996009,7349364,3853578,4815586,4373200,1353460,386894,157190,56556,20557,06-06037-20220421,16,4
County,2022/04/22,06,CA,06037,Los Angeles County,2300297,7738810,35615972,10034162,8515853,4438486,5496524,4920576,1482167,445231,191743,67604,23626,06-06037-20220422,16,4
County,2022/04/23,06,CA,06037,Los Angeles County,2499563,7539544,32672049,8732068,7419371,4097492,5236312,4810895,1585288,509948,194006,64297,22372,06-06037-20220423,16,4
